source_id,parallax,parallax_error,phot_g_mean_mag
143797532295041920,0.0742,0.153,17.925
143805164452489344,-1.1286,1.2949,20.506
143815399359260416,-0.0952,0.5181,20.022
143831376637706240,-0.0244,0.5957,20.177
143844712512823296,-0.1039,0.2555,18.79
143845365346765952,4.5556,1.1862,20.41
143906663120944896,0.4604,0.0561,16.064
143915248759865216,0.1358,0.1255,17.704
143941332094998144,0.0434,0.7077,20.092
143942908347905024,0.1565,0.6835,20.227
144037122751428224,1.1409,0.6171,20.19
144069386548379264,0.9976,0.349,19.529
144100482109556480,0.1403,0.2267,18.924
196660333373338496,0.0716,0.1711,18.465
196712422736340608,0.1712,0.4375,19.775
196738226902074240,0.9095,1.286,20.598
196749501187233024,0.7951,0.9451,20.275
196807912744785280,-0.1182,0.2974,19.343
196837698344559488,0.5907,0.434,19.975
196847731386712320,0.3418,0.155,18.328
196869932072278144,-0.4806,0.4311,19.517
196881305145697280,2.1755,0.0164,13.419
196902608183975424,0.5233,0.0668,16.999
196903222364219904,0.3504,0.2607,19.264
196906246021200512,0.7378,0.3935,19.774
196908135804406016,1.4986,0.3055,19.379
196913667724516480,-0.2444,0.2059,18.753
196916352079152896,0.9502,0.1005,17.77
196929782440357888,1.0084,0.4146,19.357
196974862417923456,2.4923,0.3632,19.506
196984654942007424,-0.2479,0.1679,18.501
196990427378311808,0.691,0.2916,19.103
196991973566627968,0.2118,0.2662,18.773
197006821267991168,0.3938,0.1481,18.316
197014552210996224,1.925,0.0135,13.149
197019736235342208,0.4162,0.369,19.475
197021866539878144,0.2482,0.3416,19.468
197028223091540736,0.2977,0.0379,15.749
197225894666645504,0.2068,0.9013,20.395
197272215888923776,0.1988,0.0861,16.846
197281179485641856,0.3658,0.1887,18.584
197300592736199808,0.0085,0.2727,19.138
197309010872337408,-1.7861,1.8692,20.775
197347665579413248,0.9592,0.5998,19.92
197361723009986688,-0.0799,0.3033,19.338
197361890509206656,0.2189,0.1835,18.562
197365571298438400,-0.7552,0.6701,20.305
197374431816078208,0.4615,0.1145,17.675
197375600047065728,0.3039,0.2035,18.719
197378795500607488,-0.875,0.7594,20.403
197381406847444864,-0.4755,0.7803,20.51
197384125557115136,1.1465,0.5607,20.229
197392986074511872,0.1697,0.8229,20.187
197410578261085184,0.0716,0.0921,17.25
197414563990797696,0.5556,0.136,17.903
197421749471739648,0.9033,0.0153,13.687
197421955630156672,1.684,0.0226,14.641
197430717363972352,-0.5773,1.1509,20.624
197432980808139136,0.7899,0.1721,18.67
197435905683797888,0.4063,0.0557,16.007
197451672506370304,0.6799,0.0863,16.893
197485379409513216,-0.0364,0.22,18.839
197506132692006912,0.5645,0.2663,19.154
197525649024849152,0.6256,0.2434,18.688
197536575419890944,0.1266,0.2392,18.939
197547226940639744,-0.074,0.5372,19.883
197560940770898176,0.6798,0.0445,15.301
197578906618303232,-0.2755,0.5657,19.97
197583545183079936,1.6897,0.3898,19.799
197586568840227072,0.7148,0.3175,19.229
197614370164190336,0.3181,0.0473,16.329
197624227113691776,0.4916,0.2769,18.59
